Prior disorder,Later disorder,Model,Time,HR,Lower,Upper
Social phobia,Anorexia nervosa,B,6,,,
Social phobia,Bulimia nervosa,B,1,,,
Social phobia,Bulimia nervosa,B,2,,,
Social phobia,Bulimia nervosa,B,3,,,
Social phobia,Bulimia nervosa,B,4,,,
Social phobia,Bulimia nervosa,B,5,4.5,2.7,7.5
Social phobia,Bulimia nervosa,B,6,,,
Social phobia,Binge eating disorder,B,1,,,
Social phobia,Binge eating disorder,B,2,,,
Social phobia,Binge eating disorder,B,3,12.7,10,16.1
Social phobia,Binge eating disorder,B,4,6.1,4.9,7.6
Social phobia,Binge eating disorder,B,5,3.7,2.9,4.7
Social phobia,Binge eating disorder,B,6,3.3,2.4,4.4
Social phobia,IED,B,1,88.7,72.9,108
Social phobia,IED,B,2,,,
Social phobia,IED,B,3,14.8,12,18.2
Social phobia,IED,B,4,6.5,5.3,8
Social phobia,IED,B,5,4.5,3.6,5.6
Social phobia,IED,B,6,3.2,2.5,4.2
Social phobia,ADHD,B,1,,,
Social phobia,ADHD,B,2,,,
Social phobia,ADHD,B,3,,,
Social phobia,ADHD,B,4,,,
Social phobia,ADHD,B,5,,,
Social phobia,ADHD,B,6,,,
Social phobia,Conduct disorder,B,1,,,
Social phobia,Conduct disorder,B,2,,,
Social phobia,Conduct disorder,B,3,,,
Social phobia,Conduct disorder,B,4,,,
Social phobia,Conduct disorder,B,5,,,
Social phobia,Conduct disorder,B,6,,,
Social phobia,ODD,B,1,,,
Social phobia,ODD,B,2,,,
Social phobia,ODD,B,3,6.6,4.8,9.2
Social phobia,ODD,B,4,3.3,2.3,4.8
Social phobia,ODD,B,5,,,
Social phobia,ODD,B,6,,,
Social phobia,Nicotine dependence,B,1,,,
Social phobia,Nicotine dependence,B,2,,,
Social phobia,Nicotine dependence,B,3,12.9,10.7,15.5
Social phobia,Nicotine dependence,B,4,4.9,4.2,5.9
Social phobia,Nicotine dependence,B,5,2.5,2.1,3
Social phobia,Nicotine dependence,B,6,1.4,1.2,1.7
Social phobia,Alcohol abuse,B,1,90.7,81.7,100.7
Social phobia,Alcohol abuse,B,2,39.9,36,44.3
Social phobia,Alcohol abuse,B,3,13.3,11.9,14.9
Social phobia,Alcohol abuse,B,4,5.6,5,6.2
Social phobia,Alcohol abuse,B,5,3.2,2.9,3.6
Social phobia,Alcohol abuse,B,6,2.1,1.8,2.4
Social phobia,Alcohol dependence,B,1,,,
Social phobia,Alcohol dependence,B,2,,,
Social phobia,Alcohol dependence,B,3,16,13.7,18.6
Social phobia,Alcohol dependence,B,4,8.3,7.2,9.7
Social phobia,Alcohol dependence,B,5,5.5,4.6,6.5
Social phobia,Alcohol dependence,B,6,3.4,2.8,4.3
Social phobia,Drug abuse,B,1,,,
Social phobia,Drug abuse,B,2,,,
Social phobia,Drug abuse,B,3,10.6,8.9,12.6
Social phobia,Drug abuse,B,4,4.6,3.8,5.4
Social phobia,Drug abuse,B,5,3.3,2.8,3.9
Social phobia,Drug abuse,B,6,2.4,1.9,3
Social phobia,Drug dependence,B,1,,,
Social phobia,Drug dependence,B,2,,,
Social phobia,Drug dependence,B,3,11.8,9.3,15.1
Social phobia,Drug dependence,B,4,6.1,4.8,7.9
Social phobia,Drug dependence,B,5,5.4,4.2,6.8
Social phobia,Drug dependence,B,6,4.6,3.3,6.4
Specific phobia,MDE,A,1,156,147.1,165.4
Specific phobia,MDE,A,2,73.6,69.6,77.9
Specific phobia,MDE,A,3,29.2,27.6,30.9
Specific phobia,MDE,A,4,11.3,10.6,11.9
Specific phobia,MDE,A,5,5.6,5.3,5.9
Specific phobia,MDE,A,6,2.8,2.6,3
Specific phobia,Bipolar disorder,A,1,,,
Specific phobia,Bipolar disorder,A,2,,,
Specific phobia,Bipolar disorder,A,3,28.7,25.9,31.6
Specific phobia,Bipolar disorder,A,4,11.4,10.1,12.8
Specific phobia,Bipolar disorder,A,5,7.2,6.4,8.2
Specific phobia,Bipolar disorder,A,6,5.4,4.5,6.5
Specific phobia,Dysthymia,A,1,,,
Specific phobia,Dysthymia,A,2,,,
Specific phobia,Dysthymia,A,3,36.1,32.1,40.5
Specific phobia,Dysthymia,A,4,17.5,15.5,19.9
Specific phobia,Dysthymia,A,5,9.5,8.3,10.8
Specific phobia,Dysthymia,A,6,4.4,3.8,5.2
Specific phobia,Panic disorder,A,1,,,
Specific phobia,Panic disorder,A,2,,,
Specific phobia,Panic disorder,A,3,40.8,37.1,44.8
Specific phobia,Panic disorder,A,4,19,17.1,21
Specific phobia,Panic disorder,A,5,9.5,8.5,10.6
Specific phobia,Panic disorder,A,6,4.7,4.1,5.5
Specific phobia,GAD,A,1,153.8,141.3,167.5
Specific phobia,GAD,A,2,,,
Specific phobia,GAD,A,3,34.7,32,37.6
Specific phobia,GAD,A,4,15.5,14.2,16.8
Specific phobia,GAD,A,5,7.9,7.2,8.5
Specific phobia,GAD,A,6,3.7,3.4,4.1
Specific phobia,Social phobia,A,1,160.9,150.5,172
Specific phobia,Social phobia,A,2,79.5,74.5,84.8
Specific phobia,Social phobia,A,3,34.2,32,36.6
Specific phobia,Social phobia,A,4,15.9,14.6,17.2
Specific phobia,Social phobia,A,5,9.7,8.9,10.5
Specific phobia,Social phobia,A,6,6.1,5.5,6.8
Specific phobia,Agoraphobia,A,1,233.6,210.7,259
Specific phobia,Agoraphobia,A,2,114.9,104.2,126.8
Specific phobia,Agoraphobia,A,3,51.3,46.4,56.7
Specific phobia,Agoraphobia,A,4,23.7,21.2,26.6
Specific phobia,Agoraphobia,A,5,14.8,13.2,16.5
Specific phobia,Agoraphobia,A,6,10.2,8.7,11.8
Specific phobia,PTSD,A,1,,,
Specific phobia,PTSD,A,2,,,
Specific phobia,PTSD,A,3,33.8,30.8,37
Specific phobia,PTSD,A,4,14.8,13.3,16.3
Specific phobia,PTSD,A,5,7.8,7,8.7
Specific phobia,PTSD,A,6,4.2,3.7,4.8
Specific phobia,OCD,A,1,,,
Specific phobia,OCD,A,2,,,
Specific phobia,OCD,A,3,,,
Specific phobia,OCD,A,4,11.2,8.5,14.9
Specific phobia,OCD,A,5,6.2,4.5,8.5
Specific phobia,OCD,A,6,3.1,1.9,5
Specific phobia,Adult SAD,A,1,,,
Specific phobia,Adult SAD,A,2,,,
Specific phobia,Adult SAD,A,3,27.1,24.4,30
Specific phobia,Adult SAD,A,4,12.3,10.9,13.9
Specific phobia,Adult SAD,A,5,7.2,6.3,8.2
Specific phobia,Adult SAD,A,6,5.2,4.3,6.3
Specific phobia,Child SAD,A,1,93.4,82.4,105.8
Specific phobia,Child SAD,A,2,50.5,44.4,57.5
Specific phobia,Child SAD,A,3,25,21.5,29
Specific phobia,Child SAD,A,4,11,9.3,13
Specific phobia,Child SAD,A,5,,,
Specific phobia,Child SAD,A,6,,,
Specific phobia,Anorexia nervosa,A,1,,,
Specific phobia,Anorexia nervosa,A,2,,,
Specific phobia,Anorexia nervosa,A,3,,,
Specific phobia,Anorexia nervosa,A,4,,,
Specific phobia,Anorexia nervosa,A,5,,,
Specific phobia,Anorexia nervosa,A,6,,,
Specific phobia,Bulimia nervosa,A,1,,,
Specific phobia,Bulimia nervosa,A,2,,,
Specific phobia,Bulimia nervosa,A,3,,,
Specific phobia,Bulimia nervosa,A,4,10.5,8.3,13.3
Specific phobia,Bulimia nervosa,A,5,5.8,4.3,7.8
Specific phobia,Bulimia nervosa,A,6,4.4,2.9,6.7
Specific phobia,Binge eating disorder,A,1,,,
Specific phobia,Binge eating disorder,A,2,,,
Specific phobia,Binge eating disorder,A,3,20.5,18.1,23.1
Specific phobia,Binge eating disorder,A,4,8.6,7.5,10
Specific phobia,Binge eating disorder,A,5,4.4,3.7,5.3
Specific phobia,Binge eating disorder,A,6,3.2,2.5,4.1
Specific phobia,IED,A,1,,,
Specific phobia,IED,A,2,,,
Specific phobia,IED,A,3,23.8,21.3,26.5
Specific phobia,IED,A,4,8.5,7.4,9.7
Specific phobia,IED,A,5,5,4.4,5.7
Specific phobia,IED,A,6,3.5,2.9,4.3
Specific phobia,ADHD,A,1,84.6,73.8,97
Specific phobia,ADHD,A,2,45.6,39.6,52.5
Specific phobia,ADHD,A,3,20.4,17.6,23.7
Specific phobia,ADHD,A,4,,,
Specific phobia,ADHD,A,5,,,
Specific phobia,ADHD,A,6,,,
Specific phobia,Conduct disorder,A,1,,,
Specific phobia,Conduct disorder,A,2,,,
Specific phobia,Conduct disorder,A,3,19,15.9,22.8
Specific phobia,Conduct disorder,A,4,6.5,5.3,7.8
Specific phobia,Conduct disorder,A,5,,,
Specific phobia,Conduct disorder,A,6,,,
Specific phobia,ODD,A,1,,,
Specific phobia,ODD,A,2,,,
Specific phobia,ODD,A,3,19,16.2,22.3
Specific phobia,ODD,A,4,6.8,5.6,8.2
Specific phobia,ODD,A,5,,,
Specific phobia,ODD,A,6,,,
Specific phobia,Nicotine dependence,A,1,,,
Specific phobia,Nicotine dependence,A,2,,,
Specific phobia,Nicotine dependence,A,3,23.5,21.1,26.2
Specific phobia,Nicotine dependence,A,4,8.7,7.9,9.7
Specific phobia,Nicotine dependence,A,5,4.2,3.8,4.7
Specific phobia,Nicotine dependence,A,6,2,1.8,2.4
Specific phobia,Alcohol abuse,A,1,,,
Specific phobia,Alcohol abuse,A,2,,,
Specific phobia,Alcohol abuse,A,3,26.5,24.2,29.1
Specific phobia,Alcohol abuse,A,4,8.8,8,9.6
Specific phobia,Alcohol abuse,A,5,4,3.6,4.4
Specific phobia,Alcohol abuse,A,6,2.3,2,2.5
Specific phobia,Alcohol dependence,A,1,,,
Specific phobia,Alcohol dependence,A,2,,,
Specific phobia,Alcohol dependence,A,3,,,
Specific phobia,Alcohol dependence,A,4,11.7,10.3,13.2
Specific phobia,Alcohol dependence,A,5,6,5.3,6.8
Specific phobia,Alcohol dependence,A,6,3,2.5,3.6
Specific phobia,Drug abuse,A,1,,,
Specific phobia,Drug abuse,A,2,,,
Specific phobia,Drug abuse,A,3,,,
Specific phobia,Drug abuse,A,4,7.1,6.3,8.1
Specific phobia,Drug abuse,A,5,3.6,3.1,4.2
Specific phobia,Drug abuse,A,6,2.8,2.3,3.5
Specific phobia,Drug dependence,A,1,,,
Specific phobia,Drug dependence,A,2,,,
Specific phobia,Drug dependence,A,3,,,
Specific phobia,Drug dependence,A,4,9.2,7.8,11
Specific phobia,Drug dependence,A,5,5.1,4.2,6.2
Specific phobia,Drug dependence,A,6,5,3.8,6.6
Specific phobia,MDE,B,1,143.4,134,153.4
Specific phobia,MDE,B,2,67.6,63.2,72.3
Specific phobia,MDE,B,3,27.1,25.3,29
Specific phobia,MDE,B,4,10.6,10,11.3
Specific phobia,MDE,B,5,5.3,5,5.7
Specific phobia,MDE,B,6,2.8,2.6,2.9
Specific phobia,Bipolar disorder,B,1,,,
Specific phobia,Bipolar disorder,B,2,,,
Specific phobia,Bipolar disorder,B,3,24.2,21,27.9
Specific phobia,Bipolar disorder,B,4,10.3,9,11.8
Specific phobia,Bipolar disorder,B,5,6.9,6,7.9
Specific phobia,Bipolar disorder,B,6,5.3,4.4,6.5
Specific phobia,Dysthymia,B,1,,,
Specific phobia,Dysthymia,B,2,,,
Specific phobia,Dysthymia,B,3,27.4,23.6,31.9
Specific phobia,Dysthymia,B,4,14.2,12.3,16.4
Specific phobia,Dysthymia,B,5,8.6,7.5,9.9
Specific phobia,Dysthymia,B,6,4.4,3.8,5.2
Specific phobia,Panic disorder,B,1,,,
Specific phobia,Panic disorder,B,2,,,
Specific phobia,Panic disorder,B,3,36.8,32.5,41.6
Specific phobia,Panic disorder,B,4,17.5,15.5,19.8
Specific phobia,Panic disorder,B,5,8.8,7.9,9.9
Specific phobia,Panic disorder,B,6,4.6,3.9,5.3
Specific phobia,GAD,B,1,130.8,119.3,143.4
Specific phobia,GAD,B,2,,,
Specific phobia,GAD,B,3,29.8,27,32.9
Specific phobia,GAD,B,4,13.9,12.6,15.3
Specific phobia,GAD,B,5,7.3,6.7,8
Specific phobia,GAD,B,6,3.6,3.3,4
Specific phobia,Social phobia,B,1,137.6,125.9,150.3
Specific phobia,Social phobia,B,2,68.5,62.7,74.8
Specific phobia,Social phobia,B,3,30.2,27.7,33
Specific phobia,Social phobia,B,4,14.6,13.4,15.9
Specific phobia,Social phobia,B,5,9.2,8.5,10
Specific phobia,Social phobia,B,6,5.9,5.3,6.6
Specific phobia,Agoraphobia,B,1,197.3,172.3,225.9
Specific phobia,Agoraphobia,B,2,97.8,85.6,111.8
Specific phobia,Agoraphobia,B,3,45,39.4,51.4
Specific phobia,Agoraphobia,B,4,21.8,19.2,24.8
Specific phobia,Agoraphobia,B,5,13.6,12.1,15.4
Specific phobia,Agoraphobia,B,6,9.8,8.4,11.4
Specific phobia,PTSD,B,1,,,
Specific phobia,PTSD,B,2,,,
Specific phobia,PTSD,B,3,30.6,27.2,34.5
Specific phobia,PTSD,B,4,13.9,12.4,15.6
Specific phobia,PTSD,B,5,7.3,6.5,8.2
Specific phobia,PTSD,B,6,4.1,3.6,4.8
Specific phobia,OCD,B,1,,,
Specific phobia,OCD,B,2,,,
Specific phobia,OCD,B,3,,,
Specific phobia,OCD,B,4,10.8,8,14.6
Specific phobia,OCD,B,5,6.1,4.4,8.6
Specific phobia,OCD,B,6,3,1.8,4.9
Specific phobia,Adult SAD,B,1,,,
Specific phobia,Adult SAD,B,2,,,
Specific phobia,Adult SAD,B,3,22.5,19.4,26.2
Specific phobia,Adult SAD,B,4,10.7,9.3,12.5
Specific phobia,Adult SAD,B,5,6.5,5.6,7.6
Specific phobia,Adult SAD,B,6,5,4.1,6
Specific phobia,Child SAD,B,1,79.4,65.9,95.7
Specific phobia,Child SAD,B,2,43.8,36.6,52.4
Specific phobia,Child SAD,B,3,22.1,18.3,26.8
Specific phobia,Child SAD,B,4,9.9,8.3,11.9
Specific phobia,Child SAD,B,5,,,
Specific phobia,Child SAD,B,6,,,
Specific phobia,Anorexia nervosa,B,1,,,
Specific phobia,Anorexia nervosa,B,2,,,
Specific phobia,Anorexia nervosa,B,3,,,
Specific phobia,Anorexia nervosa,B,4,,,
Specific phobia,Anorexia nervosa,B,5,,,
Specific phobia,Anorexia nervosa,B,6,,,
Specific phobia,Bulimia nervosa,B,1,,,
Specific phobia,Bulimia nervosa,B,2,,,
Specific phobia,Bulimia nervosa,B,3,,,
Specific phobia,Bulimia nervosa,B,4,8.2,6.1,10.9
Specific phobia,Bulimia nervosa,B,5,5.2,3.8,7.1
Specific phobia,Bulimia nervosa,B,6,4,2.5,6.4
Specific phobia,Binge eating disorder,B,1,,,
Specific phobia,Binge eating disorder,B,2,,,
Specific phobia,Binge eating disorder,B,3,16.2,13.6,19.3
Specific phobia,Binge eating disorder,B,4,7.7,6.5,9.2
Specific phobia,Binge eating disorder,B,5,4.1,3.4,5
Specific phobia,Binge eating disorder,B,6,3,2.4,3.9
Specific phobia,IED,B,1,,,
Specific phobia,IED,B,2,,,
Specific phobia,IED,B,3,21.2,18.1,24.9
Specific phobia,IED,B,4,7.9,6.8,9.2
Specific phobia,IED,B,5,4.8,4.2,5.4
Specific phobia,IED,B,6,3.4,2.8,4.2
Specific phobia,ADHD,B,1,57,45.2,72
Specific phobia,ADHD,B,2,30.2,23.8,38.5
Specific phobia,ADHD,B,3,13.2,10,17.5
Specific phobia,ADHD,B,4,,,
Specific phobia,ADHD,B,5,,,
Specific phobia,ADHD,B,6,,,
Specific phobia,Conduct disorder,B,1,,,
Specific phobia,Conduct disorder,B,2,,,
Specific phobia,Conduct disorder,B,3,13,9.7,17.5
Specific phobia,Conduct disorder,B,4,5.2,4.1,6.6
Specific phobia,Conduct disorder,B,5,,,
Specific phobia,Conduct disorder,B,6,,,
Specific phobia,ODD,B,1,,,
Specific phobia,ODD,B,2,,,
Specific phobia,ODD,B,3,14,11.1,17.6
Specific phobia,ODD,B,4,5.5,4.5,6.9
Specific phobia,ODD,B,5,,,
Specific phobia,ODD,B,6,,,
Specific phobia,Nicotine dependence,B,1,,,
Specific phobia,Nicotine dependence,B,2,,,
Specific phobia,Nicotine dependence,B,3,22.9,20.1,26.1
Specific phobia,Nicotine dependence,B,4,8.6,7.7,9.6
Specific phobia,Nicotine dependence,B,5,4.1,3.7,4.5
Specific phobia,Nicotine dependence,B,6,2,1.7,2.3
Specific phobia,Alcohol abuse,B,1,,,
Specific phobia,Alcohol abuse,B,2,,,
Specific phobia,Alcohol abuse,B,3,24.1,21.5,27
Specific phobia,Alcohol abuse,B,4,8.2,7.4,9
Specific phobia,Alcohol abuse,B,5,3.8,3.4,4.2
Specific phobia,Alcohol abuse,B,6,2.2,1.9,2.5
Specific phobia,Alcohol dependence,B,1,,,
Specific phobia,Alcohol dependence,B,2,,,
Specific phobia,Alcohol dependence,B,3,,,
Specific phobia,Alcohol dependence,B,4,9.9,8.4,11.6
Specific phobia,Alcohol dependence,B,5,5.4,4.6,6.3
Specific phobia,Alcohol dependence,B,6,2.9,2.4,3.4
Specific phobia,Drug abuse,B,1,,,
Specific phobia,Drug abuse,B,2,,,
Specific phobia,Drug abuse,B,3,,,
Specific phobia,Drug abuse,B,4,6.3,5.5,7.4
Specific phobia,Drug abuse,B,5,3.4,2.9,4
Specific phobia,Drug abuse,B,6,2.7,2.2,3.3
Specific phobia,Drug dependence,B,1,,,
Specific phobia,Drug dependence,B,2,,,
Specific phobia,Drug dependence,B,3,,,
Specific phobia,Drug dependence,B,4,7.5,6.1,9.3
Specific phobia,Drug dependence,B,5,4.7,3.8,5.7
Specific phobia,Drug dependence,B,6,4.9,3.7,6.4
Agoraphobia,MDE,A,1,,,
Agoraphobia,MDE,A,2,62.6,55.9,70.1
Agoraphobia,MDE,A,3,21.3,18.8,24.1
Agoraphobia,MDE,A,4,9.7,8.8,10.7
Agoraphobia,MDE,A,5,6,5.4,6.8
Agoraphobia,MDE,A,6,3.5,3,4
Agoraphobia,Bipolar disorder,A,1,,,
Agoraphobia,Bipolar disorder,A,2,,,
Agoraphobia,Bipolar disorder,A,3,,,
Agoraphobia,Bipolar disorder,A,4,17.8,14.7,21.6
Agoraphobia,Bipolar disorder,A,5,13.6,10.9,16.9
Agoraphobia,Bipolar disorder,A,6,11.1,8,15.4
Agoraphobia,Dysthymia,A,1,,,
Agoraphobia,Dysthymia,A,2,,,
Agoraphobia,Dysthymia,A,3,,,
Agoraphobia,Dysthymia,A,4,,,
Agoraphobia,Dysthymia,A,5,,,
Agoraphobia,Dysthymia,A,6,7.4,5.7,9.7
Agoraphobia,Panic disorder,A,1,,,
Agoraphobia,Panic disorder,A,2,,,
Agoraphobia,Panic disorder,A,3,59,51.9,67.2
Agoraphobia,Panic disorder,A,4,29.4,25.2,34.2
Agoraphobia,Panic disorder,A,5,,,
Agoraphobia,Panic disorder,A,6,11.8,9.3,15.1
Agoraphobia,GAD,A,1,,,
Agoraphobia,GAD,A,2,,,
Agoraphobia,GAD,A,3,33.9,29.6,38.9
Agoraphobia,GAD,A,4,16.4,14.3,18.7
Agoraphobia,GAD,A,5,10,8.6,11.7
Agoraphobia,GAD,A,6,5.4,4.5,6.5
Agoraphobia,Social phobia,A,1,302.7,273.7,334.7
Agoraphobia,Social phobia,A,2,,,
Agoraphobia,Social phobia,A,3,47.1,42.4,52.3
Agoraphobia,Social phobia,A,4,23.4,21.1,26
Agoraphobia,Social phobia,A,5,,,
Agoraphobia,Social phobia,A,6,,,
Agoraphobia,Specific phobia,A,1,,,
Agoraphobia,Specific phobia,A,2,,,
Agoraphobia,Specific phobia,A,3,,,
Agoraphobia,Specific phobia,A,4,,,
Agoraphobia,Specific phobia,A,5,,,
Agoraphobia,Specific phobia,A,6,,,
Agoraphobia,PTSD,A,1,,,
Agoraphobia,PTSD,A,2,,,
Agoraphobia,PTSD,A,3,,,
Agoraphobia,PTSD,A,4,12.9,10.9,15.2
Agoraphobia,PTSD,A,5,8,6.7,9.7
Agoraphobia,PTSD,A,6,6.2,4.8,7.9
Agoraphobia,OCD,A,1,,,
Agoraphobia,OCD,A,2,,,
Agoraphobia,OCD,A,3,,,
Agoraphobia,OCD,A,4,,,
Agoraphobia,OCD,A,5,,,
Agoraphobia,OCD,A,6,,,
Agoraphobia,Adult SAD,A,1,,,
Agoraphobia,Adult SAD,A,2,,,
Agoraphobia,Adult SAD,A,3,,,
Agoraphobia,Adult SAD,A,4,,,
Agoraphobia,Adult SAD,A,5,,,
Agoraphobia,Adult SAD,A,6,4.6,2.9,7.2
Agoraphobia,Child SAD,A,1,,,
Agoraphobia,Child SAD,A,2,,,
Agoraphobia,Child SAD,A,3,,,
Agoraphobia,Child SAD,A,4,,,
Agoraphobia,Child SAD,A,5,,,
Agoraphobia,Child SAD,A,6,,,
Agoraphobia,Anorexia nervosa,A,1,,,
Agoraphobia,Anorexia nervosa,A,2,,,
Agoraphobia,Anorexia nervosa,A,3,,,
Agoraphobia,Anorexia nervosa,A,4,,,
Agoraphobia,Anorexia nervosa,A,5,,,
Agoraphobia,Anorexia nervosa,A,6,,,
Agoraphobia,Bulimia nervosa,A,1,,,
Agoraphobia,Bulimia nervosa,A,2,,,
Agoraphobia,Bulimia nervosa,A,3,,,
Agoraphobia,Bulimia nervosa,A,4,,,
Agoraphobia,Bulimia nervosa,A,5,,,
Agoraphobia,Bulimia nervosa,A,6,,,
Agoraphobia,Binge eating disorder,A,1,,,
Agoraphobia,Binge eating disorder,A,2,,,
Agoraphobia,Binge eating disorder,A,3,,,
Agoraphobia,Binge eating disorder,A,4,,,
Agoraphobia,Binge eating disorder,A,5,,,
Agoraphobia,Binge eating disorder,A,6,3.7,2.1,6.5
Agoraphobia,IED,A,1,,,
Agoraphobia,IED,A,2,,,
Agoraphobia,IED,A,3,,,
Agoraphobia,IED,A,4,9.9,7.9,12.5
Agoraphobia,IED,A,5,,,
Agoraphobia,IED,A,6,,,
Agoraphobia,ADHD,A,1,,,
Agoraphobia,ADHD,A,2,,,
Agoraphobia,ADHD,A,3,,,
Agoraphobia,ADHD,A,4,,,
Agoraphobia,ADHD,A,5,,,
Agoraphobia,ADHD,A,6,,,
Agoraphobia,Conduct disorder,A,1,,,
Agoraphobia,Conduct disorder,A,2,,,
Agoraphobia,Conduct disorder,A,3,,,
Agoraphobia,Conduct disorder,A,4,,,
Agoraphobia,Conduct disorder,A,5,,,
Agoraphobia,Conduct disorder,A,6,,,
Agoraphobia,ODD,A,1,,,
Agoraphobia,ODD,A,2,,,
Agoraphobia,ODD,A,3,,,
Agoraphobia,ODD,A,4,,,
Agoraphobia,ODD,A,5,,,
Agoraphobia,ODD,A,6,,,
Agoraphobia,Nicotine dependence,A,1,,,
Agoraphobia,Nicotine dependence,A,2,,,
Agoraphobia,Nicotine dependence,A,3,,,
Agoraphobia,Nicotine dependence,A,4,6.2,4.8,8
Agoraphobia,Nicotine dependence,A,5,3.2,2.6,3.9
Agoraphobia,Nicotine dependence,A,6,1.5,1.2,2
Agoraphobia,Alcohol abuse,A,1,,,
Agoraphobia,Alcohol abuse,A,2,,,
Agoraphobia,Alcohol abuse,A,3,13.7,11.5,16.4
Agoraphobia,Alcohol abuse,A,4,6,5,7.3
Agoraphobia,Alcohol abuse,A,5,4.2,3.5,5.1
Agoraphobia,Alcohol abuse,A,6,3.1,2.4,3.9
Agoraphobia,Alcohol dependence,A,1,,,
Agoraphobia,Alcohol dependence,A,2,,,
Agoraphobia,Alcohol dependence,A,3,,,
Agoraphobia,Alcohol dependence,A,4,13.6,11.1,16.7
Agoraphobia,Alcohol dependence,A,5,,,
Agoraphobia,Alcohol dependence,A,6,5.8,4.1,8.2
Agoraphobia,Drug abuse,A,1,,,
Agoraphobia,Drug abuse,A,2,,,
Agoraphobia,Drug abuse,A,3,,,
Agoraphobia,Drug abuse,A,4,6.6,5.2,8.3
Agoraphobia,Drug abuse,A,5,5.2,4.2,6.5
Agoraphobia,Drug abuse,A,6,,,
Agoraphobia,Drug dependence,A,1,,,
Agoraphobia,Drug dependence,A,2,,,
Agoraphobia,Drug dependence,A,3,,,
Agoraphobia,Drug dependence,A,4,,,
Agoraphobia,Drug dependence,A,5,,,
Agoraphobia,Drug dependence,A,6,,,
Agoraphobia,MDE,B,1,,,
Agoraphobia,MDE,B,2,41,34.4,49
Agoraphobia,MDE,B,3,14.3,12.1,17.1
Agoraphobia,MDE,B,4,6.3,5.4,7.5
Agoraphobia,MDE,B,5,4,3.4,4.8
Agoraphobia,MDE,B,6,2.5,2,3
Agoraphobia,Bipolar disorder,B,1,,,
Agoraphobia,Bipolar disorder,B,2,,,
Agoraphobia,Bipolar disorder,B,3,,,
Agoraphobia,Bipolar disorder,B,4,8.9,5.9,13.3
Agoraphobia,Bipolar disorder,B,5,7.5,5,11.4
Agoraphobia,Bipolar disorder,B,6,7.4,4.6,12.2
Agoraphobia,Dysthymia,B,1,,,
Agoraphobia,Dysthymia,B,2,,,
Agoraphobia,Dysthymia,B,3,,,
Agoraphobia,Dysthymia,B,4,,,
Agoraphobia,Dysthymia,B,5,,,
Agoraphobia,Dysthymia,B,6,3.8,2.5,5.8
Agoraphobia,Panic disorder,B,1,,,
Agoraphobia,Panic disorder,B,2,,,
Agoraphobia,Panic disorder,B,3,33.1,24,45.5
Agoraphobia,Panic disorder,B,4,17.1,12.4,23.6
Agoraphobia,Panic disorder,B,5,,,
Agoraphobia,Panic disorder,B,6,7.9,5.5,11.2
Agoraphobia,GAD,B,1,,,
Agoraphobia,GAD,B,2,,,
Agoraphobia,GAD,B,3,20.7,16.5,25.9
Agoraphobia,GAD,B,4,10.2,8.2,12.8
Agoraphobia,GAD,B,5,6.3,5,8
Agoraphobia,GAD,B,6,3.5,2.7,4.6
Agoraphobia,Social phobia,B,1,182.1,151.5,218.8
Agoraphobia,Social phobia,B,2,,,
Agoraphobia,Social phobia,B,3,27.8,22.9,33.7
Agoraphobia,Social phobia,B,4,14.1,11.7,17
Agoraphobia,Social phobia,B,5,,,
Agoraphobia,Social phobia,B,6,,,
Agoraphobia,Specific phobia,B,1,,,
Agoraphobia,Specific phobia,B,2,,,
Agoraphobia,Specific phobia,B,3,,,
Agoraphobia,Specific phobia,B,4,,,
Agoraphobia,Specific phobia,B,5,,,
Agoraphobia,Specific phobia,B,6,,,
Agoraphobia,PTSD,B,1,,,
Agoraphobia,PTSD,B,2,,,
Agoraphobia,PTSD,B,3,,,
Agoraphobia,PTSD,B,4,7.5,5.5,10.3
Agoraphobia,PTSD,B,5,4.6,3.3,6.3
Agoraphobia,PTSD,B,6,3.7,2.6,5.3
Agoraphobia,OCD,B,1,,,
Agoraphobia,OCD,B,2,,,
Agoraphobia,OCD,B,3,,,
Agoraphobia,OCD,B,4,,,
Agoraphobia,OCD,B,5,,,
Agoraphobia,OCD,B,6,,,
Agoraphobia,Adult SAD,B,1,,,
Agoraphobia,Adult SAD,B,2,,,
Agoraphobia,Adult SAD,B,3,,,
Agoraphobia,Adult SAD,B,4,,,
Agoraphobia,Adult SAD,B,5,,,
Agoraphobia,Adult SAD,B,6,2.2,1.1,4.1
Agoraphobia,Child SAD,B,1,,,
Agoraphobia,Child SAD,B,2,,,
Agoraphobia,Child SAD,B,3,,,
Agoraphobia,Child SAD,B,4,,,
Agoraphobia,Child SAD,B,5,,,
Agoraphobia,Child SAD,B,6,,,
Agoraphobia,Anorexia nervosa,B,1,,,
Agoraphobia,Anorexia nervosa,B,2,,,
Agoraphobia,Anorexia nervosa,B,3,,,
Agoraphobia,Anorexia nervosa,B,4,,,
Agoraphobia,Anorexia nervosa,B,5,,,
Agoraphobia,Anorexia nervosa,B,6,,,
Agoraphobia,Bulimia nervosa,B,1,,,
Agoraphobia,Bulimia nervosa,B,2,,,
Agoraphobia,Bulimia nervosa,B,3,,,
Agoraphobia,Bulimia nervosa,B,4,,,
Agoraphobia,Bulimia nervosa,B,5,,,
