Prior disorder,Later disorder,Model,Time,HR,Lower,Upper
MDE,Bipolar disorder,B,3,7.5,6.4,8.8
MDE,Bipolar disorder,B,4,5.4,4.5,6.5
MDE,Bipolar disorder,B,5,6,4.8,7.5
MDE,Bipolar disorder,B,6,8,5.6,11.5
MDE,Dysthymia,B,1,124.3,111.1,139
MDE,Dysthymia,B,2,65.8,58.6,73.8
MDE,Dysthymia,B,3,33.6,29.9,37.8
MDE,Dysthymia,B,4,25.7,22.5,29.3
MDE,Dysthymia,B,5,26,22.1,30.5
MDE,Dysthymia,B,6,29.2,24.5,34.9
MDE,Panic disorder,B,1,32.8,28.8,37.4
MDE,Panic disorder,B,2,16.9,14.7,19.3
MDE,Panic disorder,B,3,7.8,6.8,9
MDE,Panic disorder,B,4,4.9,4.2,5.7
MDE,Panic disorder,B,5,4.3,3.5,5.2
MDE,Panic disorder,B,6,4.6,3.5,6.1
MDE,GAD,B,1,55.1,51,59.6
MDE,GAD,B,2,27.4,25.3,29.7
MDE,GAD,B,3,12.3,11.3,13.4
MDE,GAD,B,4,7.7,7.1,8.5
MDE,GAD,B,5,6.6,5.8,7.4
MDE,GAD,B,6,6.6,5.7,7.7
MDE,Social phobia,B,1,29.4,27,32
MDE,Social phobia,B,2,14.2,13,15.6
MDE,Social phobia,B,3,6.4,5.8,7
MDE,Social phobia,B,4,4.3,3.9,4.8
MDE,Social phobia,B,5,4,3.5,4.6
MDE,Social phobia,B,6,4.9,4,6.1
MDE,Specific phobia,B,1,32.7,30.7,35
MDE,Specific phobia,B,2,15.6,14.5,16.6
MDE,Specific phobia,B,3,6.8,6.4,7.3
MDE,Specific phobia,B,4,4.1,3.8,4.4
MDE,Specific phobia,B,5,,,
MDE,Specific phobia,B,6,,,
MDE,Agoraphobia,B,1,21.9,19.2,24.9
MDE,Agoraphobia,B,2,,,
MDE,Agoraphobia,B,3,5.1,4.4,5.9
MDE,Agoraphobia,B,4,3.5,3,4.1
MDE,Agoraphobia,B,5,2.8,2.3,3.4
MDE,Agoraphobia,B,6,3.5,2.7,4.7
MDE,PTSD,B,1,45.3,41,50
MDE,PTSD,B,2,22.5,20.3,24.9
MDE,PTSD,B,3,10.1,9.1,11.2
MDE,PTSD,B,4,6.4,5.7,7.2
MDE,PTSD,B,5,5.9,5.1,6.8
MDE,PTSD,B,6,5.7,4.7,6.9
MDE,OCD,B,1,,,
MDE,OCD,B,2,,,
MDE,OCD,B,3,,,
MDE,OCD,B,4,,,
MDE,OCD,B,5,,,
MDE,OCD,B,6,,,
MDE,Adult SAD,B,1,20.1,17.2,23.6
MDE,Adult SAD,B,2,,,
MDE,Adult SAD,B,3,4.4,3.7,5.3
MDE,Adult SAD,B,4,2.8,2.3,3.4
MDE,Adult SAD,B,5,2.6,2,3.3
MDE,Adult SAD,B,6,3.2,2,4.9
MDE,Child SAD,B,1,,,
MDE,Child SAD,B,2,,,
MDE,Child SAD,B,3,,,
MDE,Child SAD,B,4,,,
MDE,Child SAD,B,5,,,
MDE,Child SAD,B,6,,,
MDE,Anorexia nervosa,B,1,,,
MDE,Anorexia nervosa,B,2,,,
MDE,Anorexia nervosa,B,3,,,
MDE,Anorexia nervosa,B,4,,,
MDE,Anorexia nervosa,B,5,,,
MDE,Anorexia nervosa,B,6,,,
MDE,Bulimia nervosa,B,1,,,
MDE,Bulimia nervosa,B,2,,,
MDE,Bulimia nervosa,B,3,,,
MDE,Bulimia nervosa,B,4,,,
MDE,Bulimia nervosa,B,5,,,
MDE,Bulimia nervosa,B,6,,,
MDE,Binge eating disorder,B,1,16.9,14.6,19.7
MDE,Binge eating disorder,B,2,7.9,6.8,9.3
MDE,Binge eating disorder,B,3,3.6,3.1,4.3
MDE,Binge eating disorder,B,4,2.4,2,2.9
MDE,Binge eating disorder,B,5,2.3,1.7,2.9
MDE,Binge eating disorder,B,6,2.9,2,4.3
MDE,IED,B,1,23.7,20.4,27.6
MDE,IED,B,2,12.1,10.3,14.1
MDE,IED,B,3,5.4,4.5,6.3
MDE,IED,B,4,3.5,2.9,4.1
MDE,IED,B,5,3.3,2.6,4.2
MDE,IED,B,6,,,
MDE,ADHD,B,1,,,
MDE,ADHD,B,2,,,
MDE,ADHD,B,3,,,
MDE,ADHD,B,4,,,
MDE,ADHD,B,5,,,
MDE,ADHD,B,6,,,
MDE,Conduct disorder,B,1,,,
MDE,Conduct disorder,B,2,,,
MDE,Conduct disorder,B,3,,,
MDE,Conduct disorder,B,4,,,
MDE,Conduct disorder,B,5,,,
MDE,Conduct disorder,B,6,,,
MDE,ODD,B,1,,,
MDE,ODD,B,2,,,
MDE,ODD,B,3,,,
MDE,ODD,B,4,,,
MDE,ODD,B,5,,,
MDE,ODD,B,6,,,
MDE,Nicotine dependence,B,1,23.6,21.2,26.3
MDE,Nicotine dependence,B,2,11,9.9,12.2
MDE,Nicotine dependence,B,3,4.6,4.1,5.1
MDE,Nicotine dependence,B,4,2.4,2.1,2.7
MDE,Nicotine dependence,B,5,2,1.7,2.3
MDE,Nicotine dependence,B,6,1.6,1.2,2
MDE,Alcohol abuse,B,1,21.5,19.9,23.2
MDE,Alcohol abuse,B,2,10,9.2,10.9
MDE,Alcohol abuse,B,3,4.3,3.9,4.7
MDE,Alcohol abuse,B,4,2.6,2.4,2.9
MDE,Alcohol abuse,B,5,2.2,2,2.5
MDE,Alcohol abuse,B,6,2.1,1.8,2.6
MDE,Alcohol dependence,B,1,21.7,18.7,25.2
MDE,Alcohol dependence,B,2,10.9,9.3,12.7
MDE,Alcohol dependence,B,3,5.2,4.4,6.1
MDE,Alcohol dependence,B,4,3.8,3.1,4.5
MDE,Alcohol dependence,B,5,4.2,3.4,5.3
MDE,Alcohol dependence,B,6,4.4,3.3,6
MDE,Drug abuse,B,1,17.7,15.6,20
MDE,Drug abuse,B,2,8.6,7.6,9.8
MDE,Drug abuse,B,3,4,3.5,4.5
MDE,Drug abuse,B,4,2.8,2.4,3.2
MDE,Drug abuse,B,5,3.3,2.7,4
MDE,Drug abuse,B,6,3.6,2.5,5
MDE,Drug dependence,B,1,,,
MDE,Drug dependence,B,2,8.4,6.7,10.6
MDE,Drug dependence,B,3,4.5,3.5,5.7
MDE,Drug dependence,B,4,3.6,2.7,4.8
MDE,Drug dependence,B,5,5.4,3.8,7.7
MDE,Drug dependence,B,6,,,
Bipolar disorder,MDE,A,1,85.9,77.7,94.8
Bipolar disorder,MDE,A,2,37.9,34.4,41.6
Bipolar disorder,MDE,A,3,15.1,13.6,16.8
Bipolar disorder,MDE,A,4,8,7.1,9
Bipolar disorder,MDE,A,5,5.4,4.7,6.1
Bipolar disorder,MDE,A,6,4.6,3.4,6.1
Bipolar disorder,Dysthymia,A,1,,,
Bipolar disorder,Dysthymia,A,2,,,
Bipolar disorder,Dysthymia,A,3,,,
Bipolar disorder,Dysthymia,A,4,,,
Bipolar disorder,Dysthymia,A,5,,,
Bipolar disorder,Dysthymia,A,6,,,
Bipolar disorder,Panic disorder,A,1,,,
Bipolar disorder,Panic disorder,A,2,,,
Bipolar disorder,Panic disorder,A,3,,,
Bipolar disorder,Panic disorder,A,4,,,
Bipolar disorder,Panic disorder,A,5,,,
Bipolar disorder,Panic disorder,A,6,,,
Bipolar disorder,GAD,A,1,,,
Bipolar disorder,GAD,A,2,,,
Bipolar disorder,GAD,A,3,19.9,17.4,22.7
Bipolar disorder,GAD,A,4,10.6,9.2,12.2
Bipolar disorder,GAD,A,5,,,
Bipolar disorder,GAD,A,6,6.9,4.9,9.8
Bipolar disorder,Social phobia,A,1,,,
Bipolar disorder,Social phobia,A,2,,,
Bipolar disorder,Social phobia,A,3,,,
Bipolar disorder,Social phobia,A,4,,,
Bipolar disorder,Social phobia,A,5,,,
Bipolar disorder,Social phobia,A,6,,,
Bipolar disorder,Specific phobia,A,1,,,
Bipolar disorder,Specific phobia,A,2,,,
Bipolar disorder,Specific phobia,A,3,,,
Bipolar disorder,Specific phobia,A,4,,,
Bipolar disorder,Specific phobia,A,5,,,
Bipolar disorder,Specific phobia,A,6,,,
Bipolar disorder,Agoraphobia,A,1,,,
Bipolar disorder,Agoraphobia,A,2,,,
Bipolar disorder,Agoraphobia,A,3,,,
Bipolar disorder,Agoraphobia,A,4,,,
Bipolar disorder,Agoraphobia,A,5,,,
Bipolar disorder,Agoraphobia,A,6,,,
Bipolar disorder,PTSD,A,1,,,
Bipolar disorder,PTSD,A,2,,,
Bipolar disorder,PTSD,A,3,21.1,18.2,24.5
Bipolar disorder,PTSD,A,4,,,
Bipolar disorder,PTSD,A,5,,,
Bipolar disorder,PTSD,A,6,6.8,4.5,10.5
Bipolar disorder,OCD,A,1,,,
Bipolar disorder,OCD,A,2,,,
Bipolar disorder,OCD,A,3,,,
Bipolar disorder,OCD,A,4,,,
Bipolar disorder,OCD,A,5,,,
Bipolar disorder,OCD,A,6,,,
Bipolar disorder,Adult SAD,A,1,,,
Bipolar disorder,Adult SAD,A,2,,,
Bipolar disorder,Adult SAD,A,3,,,
Bipolar disorder,Adult SAD,A,4,,,
Bipolar disorder,Adult SAD,A,5,,,
Bipolar disorder,Adult SAD,A,6,,,
Bipolar disorder,Child SAD,A,1,,,
Bipolar disorder,Child SAD,A,2,,,
Bipolar disorder,Child SAD,A,3,,,
Bipolar disorder,Child SAD,A,4,,,
Bipolar disorder,Child SAD,A,5,,,
Bipolar disorder,Child SAD,A,6,,,
Bipolar disorder,Anorexia nervosa,A,1,,,
Bipolar disorder,Anorexia nervosa,A,2,,,
Bipolar disorder,Anorexia nervosa,A,3,,,
Bipolar disorder,Anorexia nervosa,A,4,,,
Bipolar disorder,Anorexia nervosa,A,5,,,
Bipolar disorder,Anorexia nervosa,A,6,,,
Bipolar disorder,Bulimia nervosa,A,1,,,
Bipolar disorder,Bulimia nervosa,A,2,,,
Bipolar disorder,Bulimia nervosa,A,3,,,
Bipolar disorder,Bulimia nervosa,A,4,,,
Bipolar disorder,Bulimia nervosa,A,5,,,
Bipolar disorder,Bulimia nervosa,A,6,,,
Bipolar disorder,Binge eating disorder,A,1,,,
Bipolar disorder,Binge eating disorder,A,2,,,
Bipolar disorder,Binge eating disorder,A,3,,,
Bipolar disorder,Binge eating disorder,A,4,,,
Bipolar disorder,Binge eating disorder,A,5,,,
Bipolar disorder,Binge eating disorder,A,6,,,
Bipolar disorder,IED,A,1,,,
Bipolar disorder,IED,A,2,,,
Bipolar disorder,IED,A,3,,,
Bipolar disorder,IED,A,4,,,
Bipolar disorder,IED,A,5,,,
Bipolar disorder,IED,A,6,,,
Bipolar disorder,ADHD,A,1,,,
Bipolar disorder,ADHD,A,2,,,
Bipolar disorder,ADHD,A,3,,,
Bipolar disorder,ADHD,A,4,,,
Bipolar disorder,ADHD,A,5,,,
Bipolar disorder,ADHD,A,6,,,
Bipolar disorder,Conduct disorder,A,1,,,
Bipolar disorder,Conduct disorder,A,2,,,
Bipolar disorder,Conduct disorder,A,3,,,
Bipolar disorder,Conduct disorder,A,4,,,
Bipolar disorder,Conduct disorder,A,5,,,
Bipolar disorder,Conduct disorder,A,6,,,
Bipolar disorder,ODD,A,1,,,
Bipolar disorder,ODD,A,2,,,
Bipolar disorder,ODD,A,3,,,
Bipolar disorder,ODD,A,4,,,
Bipolar disorder,ODD,A,5,,,
Bipolar disorder,ODD,A,6,,,
Bipolar disorder,Nicotine dependence,A,1,,,
Bipolar disorder,Nicotine dependence,A,2,,,
Bipolar disorder,Nicotine dependence,A,3,11,9.5,12.7
Bipolar disorder,Nicotine dependence,A,4,5.4,4.3,6.7
Bipolar disorder,Nicotine dependence,A,5,,,
Bipolar disorder,Nicotine dependence,A,6,,,
Bipolar disorder,Alcohol abuse,A,1,72.6,65.3,80.7
Bipolar disorder,Alcohol abuse,A,2,30.8,27.6,34.4
Bipolar disorder,Alcohol abuse,A,3,12.6,11.2,14.3
Bipolar disorder,Alcohol abuse,A,4,6.6,5.8,7.6
Bipolar disorder,Alcohol abuse,A,5,4.8,4,5.8
Bipolar disorder,Alcohol abuse,A,6,,,
Bipolar disorder,Alcohol dependence,A,1,,,
Bipolar disorder,Alcohol dependence,A,2,,,
Bipolar disorder,Alcohol dependence,A,3,21.3,18.4,24.6
Bipolar disorder,Alcohol dependence,A,4,11.9,10,14.2
Bipolar disorder,Alcohol dependence,A,5,,,
Bipolar disorder,Alcohol dependence,A,6,,,
Bipolar disorder,Drug abuse,A,1,59,50.2,69.4
Bipolar disorder,Drug abuse,A,2,,,
Bipolar disorder,Drug abuse,A,3,12.1,10.1,14.6
Bipolar disorder,Drug abuse,A,4,7.1,5.9,8.6
Bipolar disorder,Drug abuse,A,5,,,
Bipolar disorder,Drug abuse,A,6,,,
Bipolar disorder,Drug dependence,A,1,,,
Bipolar disorder,Drug dependence,A,2,,,
Bipolar disorder,Drug dependence,A,3,,,
Bipolar disorder,Drug dependence,A,4,,,
Bipolar disorder,Drug dependence,A,5,,,
Bipolar disorder,Drug dependence,A,6,,,
Bipolar disorder,MDE,B,1,27,21,34.7
Bipolar disorder,MDE,B,2,11.2,8.6,14.6
Bipolar disorder,MDE,B,3,4.7,3.6,6.1
Bipolar disorder,MDE,B,4,2.5,1.8,3.3
Bipolar disorder,MDE,B,5,1.7,1.2,2.3
Bipolar disorder,MDE,B,6,1.9,1.1,3.5
Bipolar disorder,Dysthymia,B,1,,,
Bipolar disorder,Dysthymia,B,2,,,
Bipolar disorder,Dysthymia,B,3,,,
Bipolar disorder,Dysthymia,B,4,,,
Bipolar disorder,Dysthymia,B,5,,,
Bipolar disorder,Dysthymia,B,6,,,
Bipolar disorder,Panic disorder,B,1,,,
Bipolar disorder,Panic disorder,B,2,,,
Bipolar disorder,Panic disorder,B,3,,,
Bipolar disorder,Panic disorder,B,4,,,
Bipolar disorder,Panic disorder,B,5,,,
Bipolar disorder,Panic disorder,B,6,,,
Bipolar disorder,GAD,B,1,,,
Bipolar disorder,GAD,B,2,,,
Bipolar disorder,GAD,B,3,3.6,2.2,5.6
Bipolar disorder,GAD,B,4,1.8,1.1,2.9
Bipolar disorder,GAD,B,5,,,
Bipolar disorder,GAD,B,6,1.7,0.8,3.4
Bipolar disorder,Social phobia,B,1,,,
Bipolar disorder,Social phobia,B,2,,,
Bipolar disorder,Social phobia,B,3,,,
Bipolar disorder,Social phobia,B,4,,,
Bipolar disorder,Social phobia,B,5,,,
Bipolar disorder,Social phobia,B,6,,,
Bipolar disorder,Specific phobia,B,1,,,
Bipolar disorder,Specific phobia,B,2,,,
Bipolar disorder,Specific phobia,B,3,,,
Bipolar disorder,Specific phobia,B,4,,,
Bipolar disorder,Specific phobia,B,5,,,
Bipolar disorder,Specific phobia,B,6,,,
Bipolar disorder,Agoraphobia,B,1,,,
Bipolar disorder,Agoraphobia,B,2,,,
Bipolar disorder,Agoraphobia,B,3,,,
Bipolar disorder,Agoraphobia,B,4,,,
Bipolar disorder,Agoraphobia,B,5,,,
Bipolar disorder,Agoraphobia,B,6,,,
Bipolar disorder,PTSD,B,1,,,
Bipolar disorder,PTSD,B,2,,,
Bipolar disorder,PTSD,B,3,3.7,2.3,5.8
Bipolar disorder,PTSD,B,4,,,
Bipolar disorder,PTSD,B,5,,,
Bipolar disorder,PTSD,B,6,1.8,0.8,3.7
Bipolar disorder,OCD,B,1,,,
Bipolar disorder,OCD,B,2,,,
Bipolar disorder,OCD,B,3,,,
Bipolar disorder,OCD,B,4,,,
Bipolar disorder,OCD,B,5,,,
Bipolar disorder,OCD,B,6,,,
Bipolar disorder,Adult SAD,B,1,,,
Bipolar disorder,Adult SAD,B,2,,,
Bipolar disorder,Adult SAD,B,3,,,
Bipolar disorder,Adult SAD,B,4,,,
Bipolar disorder,Adult SAD,B,5,,,
Bipolar disorder,Adult SAD,B,6,,,
Bipolar disorder,Child SAD,B,1,,,
Bipolar disorder,Child SAD,B,2,,,
Bipolar disorder,Child SAD,B,3,,,
Bipolar disorder,Child SAD,B,4,,,
Bipolar disorder,Child SAD,B,5,,,
Bipolar disorder,Child SAD,B,6,,,
Bipolar disorder,Anorexia nervosa,B,1,,,
Bipolar disorder,Anorexia nervosa,B,2,,,
Bipolar disorder,Anorexia nervosa,B,3,,,
Bipolar disorder,Anorexia nervosa,B,4,,,
Bipolar disorder,Anorexia nervosa,B,5,,,
Bipolar disorder,Anorexia nervosa,B,6,,,
Bipolar disorder,Bulimia nervosa,B,1,,,
Bipolar disorder,Bulimia nervosa,B,2,,,
Bipolar disorder,Bulimia nervosa,B,3,,,
Bipolar disorder,Bulimia nervosa,B,4,,,
Bipolar disorder,Bulimia nervosa,B,5,,,
Bipolar disorder,Bulimia nervosa,B,6,,,
Bipolar disorder,Binge eating disorder,B,1,,,
Bipolar disorder,Binge eating disorder,B,2,,,
Bipolar disorder,Binge eating disorder,B,3,,,
Bipolar disorder,Binge eating disorder,B,4,,,
