prior disorder,later disorder,tso,failure,stderr,newf,newf_low,newf_high,model
AGO,MDE,18,0.3261,0.0015,38.75664067,38.32791808,39.18536326,F
AGO,MDE,19,0.3316,0.00151,39.56896624,39.13206353,40.00586894,F
AGO,MDE,20,0.3396,0.00154,40.76808118,40.31881089,41.21735146,F
AGO,MDE,21,0.3494,0.00157,42.25392786,41.78893453,42.71892119,F
AGO,MDE,22,0.3593,0.0016,43.78510974,43.30359605,44.26662342,F
AGO,MDE,23,0.369,0.00163,45.2958725,44.79753849,45.79420652,F
AGO,MDE,24,0.3724,0.00164,45.83066382,45.32620886,46.33511877,F
AGO,MDE,25,0.3946,0.00171,49.37557325,48.83079422,49.92035228,F
AGO,MDE,26,0.4091,0.00175,51.76133819,51.18936484,52.33331153,F
AGO,MDE,27,0.4246,0.00179,54.38518295,53.78281641,54.98754949,F
AGO,MDE,28,0.4323,0.00181,55.72078001,55.10255398,56.33900604,F
AGO,MDE,29,0.4356,0.00182,56.30247444,55.67713764,56.92781124,F
AGO,MDE,30,0.4465,0.00186,58.23611727,57.58597567,58.88625887,F
AGO,MDE,31,0.4502,0.00187,58.9083707,58.24914745,59.56759395,F
AGO,MDE,32,0.4547,0.00189,59.72675582,59.05628272,60.39722891,F
AGO,MDE,33,0.4688,0.00194,62.31581753,61.60910717,63.0225279,F
AGO,MDE,34,0.4703,0.00194,62.59225528,61.88148405,63.30302652,F
AGO,MDE,35,0.4738,0.00196,63.25911032,62.53822668,63.97999397,F
AGO,MDE,36,0.479,0.00198,64.24022843,63.50339029,64.97706657,F
AGO,MDE,37,0.4846,0.00201,65.31497196,64.55883422,66.07110969,F
AGO,MDE,38,0.4931,0.00206,66.96978289,66.18279792,67.75676785,F
AGO,MDE,39,0.4967,0.00208,67.6832286,66.88270803,68.48374916,F
AGO,MDE,40,0.5033,0.00212,68.99162413,68.16519218,69.81805609,F
AGO,MDE,41,0.513,0.00217,70.94814587,70.08307489,71.81321686,F
AGO,MDE,42,0.5176,0.0022,71.87449225,70.9909387,72.7580458,F
AGO,MDE,43,0.522,0.00223,72.79902245,71.89549685,73.70254806,F
AGO,MDE,48,0.5378,0.0024,76.10455226,75.09831919,77.11078534,F
AGO,MDE,52,0.5425,0.00247,77.11076078,76.06421444,78.15730712,F
AGO,MDE,53,0.5538,0.00266,79.58525058,78.42863515,80.74186601,F
AGO,MDE,56,0.5621,0.00284,81.45282274,80.19529566,82.71034982,F
AGO,MDE,61,0.5779,0.00326,85.05471847,83.55900514,86.5504318,F
AGO,MDE,64,0.6141,0.00476,93.62614704,91.2849302,95.96736388,F
AGO,MDE,66,0.6613,0.00623,105.8764799,102.4489845,109.3039754,F
AGO,MDE,1,0.0741,0.00109,7.414508314,7.191695745,7.637320882,M
AGO,MDE,2,0.0979,0.00124,9.981185083,9.719798801,10.24257137,M
AGO,MDE,3,0.1195,0.00136,12.37035104,12.07638602,12.66431607,M
AGO,MDE,4,0.1413,0.00146,14.84751051,14.5216653,15.17335573,M
AGO,MDE,5,0.1612,0.00155,17.17128881,16.8163937,17.52618392,M
AGO,MDE,6,0.174,0.00161,18.69439193,18.32076353,19.06802033,M
AGO,MDE,7,0.1829,0.00165,19.76562276,19.37896447,20.15228105,M
AGO,MDE,8,0.1908,0.00168,20.74053567,20.34192442,21.13914692,M
AGO,MDE,9,0.2086,0.00175,22.93634602,22.51121827,23.36147378,M
AGO,MDE,10,0.2319,0.00184,25.88279677,25.42240426,26.34318927,M
AGO,MDE,11,0.2471,0.00189,27.85932368,27.37545451,28.34319286,M
AGO,MDE,12,0.2527,0.00191,28.6073353,28.11418337,29.10048722,M
AGO,MDE,13,0.2811,0.00201,32.41008228,31.87013065,32.95003391,M
AGO,MDE,14,0.2934,0.00206,34.11880614,33.55736943,34.68024286,M
AGO,MDE,15,0.2964,0.00207,34.53816595,33.97123624,35.10509566,M
AGO,MDE,16,0.3041,0.0021,35.63510168,35.05358866,36.2166147,M
AGO,MDE,17,0.3083,0.00211,36.24211328,35.65237897,36.8318476,M
AGO,MDE,18,0.3232,0.00217,38.3893262,37.77028651,39.00836589,M
AGO,MDE,19,0.3296,0.00219,39.33354401,38.701218,39.96587003,M
AGO,MDE,20,0.3332,0.00221,39.88177408,39.24162583,40.52192233,M
AGO,MDE,21,0.344,0.00225,41.4891276,40.82569578,42.15255942,M
AGO,MDE,23,0.3497,0.00228,42.36272847,41.68562753,43.03982942,M
AGO,MDE,25,0.3573,0.00231,43.52913138,42.83290626,44.2253565,M
AGO,MDE,26,0.3646,0.00235,44.66334688,43.94701473,45.37967903,M
AGO,MDE,27,0.3777,0.00242,46.72470503,45.97122901,47.47818106,M
AGO,MDE,28,0.383,0.00245,47.58861997,46.81905394,48.35818601,M
AGO,MDE,29,0.3895,0.00249,48.63091604,47.84194569,49.41988639,M
AGO,MDE,30,0.3937,0.00251,49.32906799,48.52625847,50.13187752,M
AGO,MDE,31,0.3949,0.00252,49.52744321,48.72016255,50.33472386,M
AGO,MDE,32,0.4024,0.00258,50.76550131,49.92999722,51.60100539,M
AGO,MDE,33,0.414,0.00266,52.70264304,51.82422603,53.58106004,M
AGO,MDE,35,0.4185,0.00269,53.46644352,52.56890615,54.36398089,M
AGO,MDE,39,0.4236,0.00274,54.34899614,53.42617033,55.27182194,M
AGO,MDE,40,0.4405,0.00294,57.27492825,56.25534978,58.29450673,M
AGO,MDE,42,0.4454,0.003,58.1505537,57.10191119,59.19919621,M
AGO,MDE,45,0.4538,0.00314,59.6742696,58.55914303,60.78939617,M
AGO,MDE,46,0.4658,0.00335,61.86810465,60.65255998,63.08364931,M
AGO,MDE,52,0.482,0.00413,64.89370589,63.35121855,66.43619323,M
AGO,Bipolar disorder,1,0.0254,0.000426,2.544273735,2.459630432,2.628917037,All
AGO,Bipolar disorder,2,0.0354,0.000501,3.565343798,3.464557366,3.66613023,All
AGO,Bipolar disorder,3,0.0401,0.000533,4.055250771,3.947371813,4.163129729,All
AGO,Bipolar disorder,4,0.0454,0.000568,4.604554851,4.489045134,4.720064568,All
AGO,Bipolar disorder,5,0.0525,0.000611,5.346475007,5.221101803,5.47184821,All
AGO,Bipolar disorder,6,0.0648,0.000681,6.647781501,6.50621548,6.789347523,All
AGO,Bipolar disorder,7,0.07,0.000708,7.206068461,7.057838319,7.354298602,All
AGO,Bipolar disorder,8,0.0759,0.000739,7.836354159,7.680630181,7.992078137,All
AGO,Bipolar disorder,9,0.0855,0.000789,8.877733741,8.709841885,9.045625596,All
